source_filename,function_name,function_signature,loc_suggestion
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,<init>,public void <init>(boolean) ,"(33, 34)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,<init>,public void <init>(boolean) ,"(31, 38)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,<init>,public void <init>(boolean) ,"(32, 38)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,<init>,public void <init>(boolean) ,"(32, 35)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,<init>,public void <init>(boolean) ,"(31, 35)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,annotate,public void annotate(edu.stanford.nlp.pipeline.Annotation) ,"(72, 73)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,annotate,public void annotate(edu.stanford.nlp.pipeline.Annotation) ,"(55, 56)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,annotate,public void annotate(edu.stanford.nlp.pipeline.Annotation) ,"(111, 114)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,annotate,public void annotate(edu.stanford.nlp.pipeline.Annotation) ,"(107, 114)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,annotate,public void annotate(edu.stanford.nlp.pipeline.Annotation) ,"(55, 65)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,process,public List<List<edu.stanford.nlp.ling.CoreLabel>> process(List<edu.stanford.nlp.ling.CoreLabel>) ,"(160, 214)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,process,public List<List<edu.stanford.nlp.ling.CoreLabel>> process(List<edu.stanford.nlp.ling.CoreLabel>) ,"(160, 213)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,process,public List<List<edu.stanford.nlp.ling.CoreLabel>> process(List<edu.stanford.nlp.ling.CoreLabel>) ,"(157, 160)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,process,public List<List<edu.stanford.nlp.ling.CoreLabel>> process(List<edu.stanford.nlp.ling.CoreLabel>) ,"(161, 214)"
../projects/CoreNLP/src/edu/stanford/nlp/pipeline/QuoteAnnotator.java,process,public List<List<edu.stanford.nlp.ling.CoreLabel>> process(List<edu.stanford.nlp.ling.CoreLabel>) ,"(161, 213)"
