source_filename,function_name,loc_suggestion
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,weight,"(104, 105)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,weight,"(103, 104)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoresOf,"(148, 152)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoresOf,"(136, 152)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoresOf,"(146, 152)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoresOf,"(136, 147)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoresOf,"(148, 151)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(172, 176)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(173, 176)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(173, 175)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(172, 175)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(213, 216)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(214, 217)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(214, 216)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOfRVFDatum,"(226, 229)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOfRVFDatum,"(227, 230)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOfRVFDatum,"(227, 229)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(239, 240)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(242, 245)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(242, 244)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,scoreOf,"(241, 244)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,probabilityOf,"(258, 261)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,probabilityOf,"(258, 260)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,probabilityOf,"(257, 260)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,logProbabilityOf,"(303, 304)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,logProbabilityOf,"(302, 303)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getLabelIndices,"(361, 363)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getLabelIndices,"(361, 362)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getLabelIndices,"(363, 363)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getLabelIndices,"(362, 363)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getFeatureCount,"(382, 385)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getFeatureCount,"(381, 386)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getFeatureCount,"(383, 385)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getFeatureCountLabelIndices,"(426, 429)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getFeatureCountLabelIndices,"(425, 430)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getFeatureCountLabelIndices,"(427, 429)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getTopFeaturesLabelIndices,"(488, 530)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getTopFeaturesLabelIndices,"(523, 534)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getTopFeaturesLabelIndices,"(523, 530)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getTopFeaturesLabelIndices,"(526, 529)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,getTopFeaturesLabelIndices,"(527, 529)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,topFeaturesToString,"(548, 551)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,topFeaturesToString,"(559, 561)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,topFeaturesToString,"(559, 564)"
projects/CoreNLP/src/edu/stanford/nlp/classify/LinearClassifier.java,topFeaturesToString,"(567, 568)"
