source_filename,function_name,loc_suggestion
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractPremarkedEntityMentions,"(83, 85)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractPremarkedEntityMentions,"(83, 84)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractPremarkedEntityMentions,"(82, 87)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractPremarkedEntityMentions,"(82, 86)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractPremarkedEntityMentions,"(82, 85)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractEnumerations,"(108, 125)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractEnumerations,"(110, 125)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractEnumerations,"(109, 125)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractEnumerations,"(129, 132)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractEnumerations,"(113, 124)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,inStopList,"(153, 156)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,inStopList,"(151, 156)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,inStopList,"(149, 156)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,removeSpuriousMentions,"(161, 161)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,removeSpuriousMentionsZh,"(169, 280)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,removeSpuriousMentionsZh,"(183, 260)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,removeSpuriousMentionsZh,"(179, 260)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,removeSpuriousMentionsZh,"(175, 260)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,removeSpuriousMentionsZh,"(174, 262)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractNamedEntityModifiers,"(307, 314)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractNamedEntityModifiers,"(320, 327)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractNamedEntityModifiers,"(308, 314)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractNamedEntityModifiers,"(288, 341)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,extractNamedEntityModifiers,"(321, 327)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,addNamedEntityStrings,"(352, 356)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,addNamedEntityStrings,"(348, 356)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,addNamedEntityStrings,"(348, 355)"
projects/CoreNLP/src/edu/stanford/nlp/hcoref/md/CorefMentionFinder.java,addNamedEntityStrings,"(348, 352)"
