source_filename,function_name,loc_suggestion
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,<init>,"(80, 82)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,<init>,"(113, 116)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,<init>,"(113, 115)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,<init>,"(103, 105)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,<init>,"(102, 105)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,<init>,"(109, 111)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,initFromStrings,"(157, 209)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,initFromStrings,"(158, 209)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,initFromStrings,"(191, 201)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,initFromStrings,"(190, 201)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,initFromStrings,"(189, 208)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(219, 220)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(218, 219)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(245, 252)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(245, 250)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(241, 248)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(239, 246)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,newLabel,"(237, 244)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,getString,"(288, 291)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,setWord,"(330, 332)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,setWord,"(325, 326)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,setWord,"(326, 332)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,index,"(479, 481)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,sentIndex,"(498, 500)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,beginPosition,"(517, 518)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,endPosition,"(527, 528)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,toString,"(647, 650)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,toString,"(645, 650)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,toString,"(605, 606)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,toString,"(643, 657)"
projects/CoreNLP/src/edu/stanford/nlp/ling/CoreLabel.java,toString,"(602, 605)"
